random_moves,sa_moves,runtime,board,improvement
404.0,402.0,21.920552015304565,Board 2,2.0
2254.0,2029.0,22.4931116104126,Board 2,225.0
248.0,248.0,21.777480840682983,Board 2,0.0
2039.0,2039.0,22.044207096099857,Board 2,0.0
1507.0,1392.0,21.81535816192627,Board 2,115.0
3379.0,3138.0,21.666239023208615,Board 2,241.0
4375.0,4039.0,21.105331897735596,Board 2,336.0
1243.0,1241.0,20.933890104293823,Board 2,2.0
1857.0,1855.0,21.39771199226379,Board 2,2.0
2201.0,2001.0,21.29397988319397,Board 2,200.0
958.0,956.0,22.379455089569092,Board 2,2.0
3554.0,3258.0,19.467766046524048,Board 2,296.0
3590.0,3588.0,18.71300506591797,Board 2,2.0
2244.0,2242.0,19.27158784866333,Board 2,2.0
787.0,731.0,20.457679986953735,Board 2,56.0
10811.0,9460.0,19.305904865264893,Board 2,1351.0
320.0,318.0,16.48611617088318,Board 2,2.0
4678.0,4676.0,16.105225086212158,Board 2,2.0
3862.0,3862.0,16.343212127685547,Board 2,0.0
2244.0,2242.0,18.16103482246399,Board 2,2.0
1702.0,1700.0,19.060600996017456,Board 2,2.0
1625.0,1393.0,18.77233409881592,Board 2,232.0
2167.0,2165.0,21.3892822265625,Board 2,2.0
5346.0,4990.0,25.306591987609863,Board 2,356.0
4710.0,4708.0,25.39694905281067,Board 2,2.0
899.0,897.0,26.016930103302,Board 2,2.0
1024.0,1022.0,27.572898864746097,Board 2,2.0
6328.0,5753.0,28.9940128326416,Board 2,575.0
1735.0,1620.0,29.211286067962646,Board 2,115.0
538.0,536.0,29.464878797531128,Board 2,2.0
1636.0,1636.0,29.4966299533844,Board 2,0.0
280.0,280.0,33.21497964859009,Board 2,0.0
2314.0,2312.0,30.254458904266357,Board 2,2.0
5267.0,5265.0,29.57705307006836,Board 2,2.0
729.0,727.0,29.081613779067993,Board 2,2.0
1280.0,1189.0,29.563318967819217,Board 2,91.0
1178.0,1071.0,31.317816019058228,Board 2,107.0
,,,Board 3,
63605.0,63603.0,15.441818714141846,Board 3,2.0
14759.0,14757.0,12.714711904525757,Board 3,2.0
4394.0,4394.0,12.102030038833618,Board 3,0.0
56002.0,56000.0,14.645080089569092,Board 3,2.0
40145.0,40145.0,13.93315291404724,Board 3,0.0
20937.0,20937.0,12.96213674545288,Board 3,0.0
61772.0,61772.0,14.62191915512085,Board 3,0.0
18067.0,18067.0,13.348805665969849,Board 3,0.0
10735.0,10735.0,12.827229976654053,Board 3,0.0
15655.0,15655.0,12.825095176696776,Board 3,0.0
44740.0,44738.0,13.753382205963137,Board 3,2.0
17327.0,17325.0,12.71679401397705,Board 3,2.0
22445.0,22445.0,13.096188306808472,Board 3,0.0
24702.0,24700.0,13.179435014724731,Board 3,2.0
23950.0,23950.0,13.28636121749878,Board 3,0.0
56240.0,56238.0,14.52022910118103,Board 3,2.0
67058.0,67058.0,14.899429082870483,Board 3,0.0
20469.0,18423.0,13.310190200805664,Board 3,2046.0
54877.0,54875.0,14.37942886352539,Board 3,2.0
9608.0,9608.0,12.654392957687378,Board 3,0.0
11275.0,10470.0,12.458065032958984,Board 3,805.0
40912.0,40910.0,13.749053955078123,Board 3,2.0
68172.0,68172.0,16.757456064224243,Board 3,0.0
45533.0,45533.0,14.39647388458252,Board 3,0.0
23477.0,23477.0,15.491251945495604,Board 3,0.0
26171.0,26169.0,13.736138105392456,Board 3,2.0
12017.0,12017.0,13.13558292388916,Board 3,0.0
12432.0,11396.0,13.671134948730469,Board 3,1036.0
79241.0,79241.0,16.148564338684082,Board 3,0.0
10941.0,10939.0,14.35880994796753,Board 3,2.0
24216.0,24214.0,16.302084922790527,Board 3,2.0
46765.0,46763.0,17.607418060302734,Board 3,2.0
16068.0,16066.0,16.710771083831787,Board 3,2.0
54960.0,54958.0,22.464804887771606,Board 3,2.0
16801.0,16801.0,15.713290929794312,Board 3,0.0
13164.0,13164.0,14.558449268341064,Board 3,0.0
41659.0,36452.0,15.224374055862429,Board 3,5207.0
25169.0,25167.0,14.350726842880247,Board 3,2.0
30439.0,30437.0,14.562178134918211,Board 3,2.0
6284.0,6282.0,13.299321174621582,Board 3,2.0
15785.0,15785.0,14.622140884399414,Board 3,0.0
16070.0,16068.0,14.194923162460327,Board 3,2.0
35025.0,35023.0,14.863523244857788,Board 3,2.0
22827.0,22827.0,14.072674989700316,Board 3,0.0
9633.0,9633.0,13.884692192077637,Board 3,0.0
30592.0,28553.0,14.314557790756226,Board 3,2039.0
15928.0,15926.0,14.91575002670288,Board 3,2.0
26353.0,26351.0,16.33403205871582,Board 3,2.0
45897.0,42838.0,18.943172931671143,Board 3,3059.0
4921.0,4919.0,16.767306089401245,Board 3,2.0
11490.0,11488.0,18.277719736099243,Board 3,2.0
2375.0,2373.0,19.492791175842285,Board 3,2.0
16185.0,16185.0,20.89145588874817,Board 3,0.0
28548.0,26352.0,20.714164972305294,Board 3,2196.0
,,,Board 3,
92492.0,92492.0,23.28866600990295,Board 3,0.0
91720.0,85606.0,23.571974992752075,Board 3,6114.0
10263.0,10261.0,20.51772403717041,Board 3,2.0
6319.0,6317.0,20.27851104736328,Board 3,2.0
34411.0,34409.0,20.16737198829651,Board 3,2.0
9923.0,9921.0,17.840428113937378,Board 3,2.0
16228.0,16228.0,19.65257501602173,Board 3,0.0
23245.0,23243.0,21.425295114517212,Board 3,2.0
58657.0,58655.0,29.087570905685425,Board 3,2.0
26603.0,26601.0,24.86934280395508,Board 3,2.0
,,,Board 3,
9046.0,9046.0,24.1072518825531,Board 3,0.0
16826.0,16824.0,24.64254903793335,Board 3,2.0
28003.0,28001.0,25.17397665977478,Board 3,2.0
,,,Board 3,
48123.0,48121.0,23.184285879135132,Board 3,2.0
19397.0,19397.0,20.709810972213745,Board 3,0.0
,,,Board 3,
42670.0,42668.0,22.635738849639893,Board 3,2.0
46804.0,46802.0,22.63060212135315,Board 3,2.0
12929.0,12927.0,18.072428226470947,Board 3,2.0
8641.0,8639.0,16.582140922546387,Board 3,2.0
71651.0,71649.0,19.980751991271973,Board 3,2.0
4340.0,4340.0,15.923521995544434,Board 3,0.0
35247.0,35245.0,17.788235664367676,Board 3,2.0
42727.0,42727.0,19.225721836090088,Board 3,0.0
46109.0,43036.0,19.565787076950073,Board 3,3073.0
22219.0,20510.0,17.839876174926758,Board 3,1709.0
30235.0,30235.0,17.85677218437195,Board 3,0.0
80016.0,80014.0,19.984117031097412,Board 3,2.0
9198.0,8541.0,16.48659610748291,Board 3,657.0
26342.0,24586.0,16.994086980819702,Board 3,1756.0
55844.0,51856.0,18.408284902572632,Board 3,3988.0
93582.0,80214.0,21.278208017349243,Board 3,13368.0
10121.0,10121.0,15.632272720336914,Board 3,0.0
,,,Board 3,
8317.0,8315.0,16.03989887237549,Board 3,2.0
16202.0,16200.0,15.819881916046144,Board 3,2.0
47453.0,47453.0,17.454362154006958,Board 3,0.0
34945.0,34945.0,17.117462158203125,Board 3,0.0
59205.0,59205.0,18.047502040863037,Board 3,0.0
51927.0,51927.0,18.554513216018677,Board 3,0.0
11076.0,11074.0,16.428405046463013,Board 3,2.0
,,,Board 3,
34759.0,34757.0,46.825275182724,Board 4,2.0
24569.0,24569.0,48.71874189376831,Board 4,0.0
12443.0,12443.0,52.37375092506409,Board 4,0.0
42651.0,42649.0,57.6685791015625,Board 4,2.0
12778.0,12778.0,57.91448783874512,Board 4,0.0
64986.0,64986.0,61.86961913108826,Board 4,0.0
54907.0,54905.0,58.8861780166626,Board 4,2.0
51681.0,51679.0,58.74446892738342,Board 4,2.0
8415.0,8413.0,47.871493101119995,Board 4,2.0
2346.0,2346.0,44.031614780426025,Board 4,0.0
39896.0,39894.0,51.40735483169556,Board 4,2.0
15088.0,15088.0,53.740524768829346,Board 4,0.0
14809.0,14807.0,58.3563289642334,Board 4,2.0
33506.0,33506.0,52.340487003326416,Board 4,0.0
25551.0,25549.0,51.22308874130249,Board 4,2.0
59633.0,59633.0,54.428704023361206,Board 4,0.0
38847.0,38847.0,51.58402395248413,Board 4,0.0
17089.0,17087.0,50.244274854660034,Board 4,2.0
55717.0,55715.0,51.26099514961243,Board 4,2.0
77161.0,77159.0,53.05247116088867,Board 4,2.0
81121.0,81119.0,55.74253582954407,Board 4,2.0
17950.0,17948.0,47.365570068359375,Board 4,2.0
18999.0,18997.0,46.518494844436646,Board 4,2.0
13682.0,13680.0,45.12851905822754,Board 4,2.0
43472.0,43470.0,50.22464370727539,Board 4,2.0
70993.0,70993.0,52.26313495635986,Board 4,0.0
21720.0,21718.0,46.911834955215454,Board 4,2.0
97948.0,97946.0,54.27671504020691,Board 4,2.0
58937.0,58937.0,54.20224571228027,Board 4,0.0
37025.0,37023.0,50.08265399932861,Board 4,2.0
15662.0,15660.0,48.286197900772095,Board 4,2.0
30160.0,30158.0,50.168116331100464,Board 4,2.0
16251.0,16251.0,49.68848276138306,Board 4,0.0
81748.0,74936.0,53.701961040496826,Board 4,6812.0
57602.0,57602.0,51.422003984451294,Board 4,0.0
8621.0,8621.0,46.37882113456726,Board 4,0.0
31481.0,31481.0,48.65646839141846,Board 4,0.0
57127.0,57125.0,51.57979702949524,Board 4,2.0
