moves,runtime,board,size,iterations
9127,60.25496220588684,Board 6,9x9,10000
9077,59.104756116867065,Board 6,9x9,10000
5098,60.96571707725525,Board 6,9x9,10000
4101,12.865829229354858,Board 6,9x9,10000
987,1.1023001670837402,Board 6,9x9,10000
9271,60.197213888168335,Board 6,9x9,10000
7506,40.6780149936676,Board 6,9x9,10000
3463,10.461971044540403,Board 6,9x9,10000
8845,60.70904803276062,Board 6,9x9,10000
7109,38.336345195770264,Board 6,9x9,10000
4752,16.472562789916992,Board 6,9x9,10000
9259,59.822322845458984,Board 6,9x9,10000
8902,60.11016917228699,Board 6,9x9,10000
8745,59.82244682312012,Board 6,9x9,10000
3101,7.942344903945923,Board 6,9x9,10000
5355,20.63028573989868,Board 6,9x9,10000
3447,10.100815057754517,Board 6,9x9,10000
9252,59.67032718658447,Board 6,9x9,10000
4697,16.49035906791687,Board 6,9x9,10000
8987,61.68328499794006,Board 6,9x9,10000
9199,61.05546498298645,Board 6,9x9,10000
4926,18.861730098724365,Board 6,9x9,10000
5413,21.438698291778564,Board 6,9x9,10000
6224,33.055108070373535,Board 6,9x9,10000
630,0.5185480117797852,Board 6,9x9,10000
9083,59.182159185409546,Board 6,9x9,10000
9156,59.46014475822449,Board 6,9x9,10000
925,1.0291550159454346,Board 6,9x9,10000
9158,60.170263051986694,Board 6,9x9,10000
9250,59.73340201377869,Board 6,9x9,10000
9213,59.10491967201233,Board 6,9x9,10000
780,0.7329130172729492,Board 6,9x9,10000
2200,3.8304567337036137,Board 6,9x9,10000
2190,5.487750768661499,Board 6,9x9,10000
8968,59.236695766448975,Board 6,9x9,10000
9191,59.668262004852295,Board 6,9x9,10000
1300,1.6259996891021729,Board 6,9x9,10000
9131,59.605791091918945,Board 6,9x9,10000
9136,60.719223976135254,Board 6,9x9,10000
560,0.4551479816436767,Board 6,9x9,10000
6513,31.203166007995605,Board 6,9x9,10000
1344,1.7699792385101318,Board 6,9x9,10000
9183,59.57356286048889,Board 6,9x9,10000
8851,59.85237503051758,Board 6,9x9,10000
9012,59.127960205078125,Board 6,9x9,10000
1019,1.0722289085388184,Board 6,9x9,10000
1658,2.988201856613159,Board 6,9x9,10000
