random_moves,hillclimber_moves,improvement,board,size
804,655,149,Board 2,6x6
4620,4469,151,Board 2,6x6
4637,4497,140,Board 2,6x6
2735,2585,150,Board 2,6x6
1110,942,168,Board 2,6x6
6838,6675,163,Board 2,6x6
9805,9626,179,Board 2,6x6
2264,2108,156,Board 2,6x6
1763,1599,164,Board 2,6x6
700,547,153,Board 2,6x6
1703,1537,166,Board 2,6x6
4197,4043,154,Board 2,6x6
3183,3025,158,Board 2,6x6
1164,1005,159,Board 2,6x6
1158,1003,155,Board 2,6x6
1244,1068,176,Board 2,6x6
1944,1800,144,Board 2,6x6
1200,1027,173,Board 2,6x6
1632,1471,161,Board 2,6x6
9204,9040,164,Board 2,6x6
460,300,160,Board 2,6x6
2256,2099,157,Board 2,6x6
512,356,156,Board 2,6x6
1642,1483,159,Board 2,6x6
832,674,158,Board 2,6x6
2791,2618,173,Board 2,6x6
4856,4693,163,Board 2,6x6
1507,1335,172,Board 2,6x6
4697,4532,165,Board 2,6x6
1783,1613,170,Board 2,6x6
777,605,172,Board 2,6x6
957,791,166,Board 2,6x6
1969,1808,161,Board 2,6x6
3473,3313,160,Board 2,6x6
1031,871,160,Board 2,6x6
1650,1486,164,Board 2,6x6
1692,1522,170,Board 2,6x6
938,785,153,Board 2,6x6
920,753,167,Board 2,6x6
1824,1654,170,Board 2,6x6
862,862,0,Board 2,6x6
2422,2257,165,Board 2,6x6
1457,1278,179,Board 2,6x6
2963,2816,147,Board 2,6x6
3263,3113,150,Board 2,6x6
2043,1868,175,Board 2,6x6
1798,1642,156,Board 2,6x6
43144,42984,160,Board 6,9x9
11083,10949,134,Board 6,9x9
11515,11389,126,Board 6,9x9
41625,41625,0,Board 6,9x9
32719,32559,160,Board 6,9x9
64348,64348,0,Board 6,9x9
8783,8607,176,Board 6,9x9
53207,53046,161,Board 6,9x9
5983,5896,87,Board 6,9x9
26588,26411,177,Board 6,9x9
10420,10252,168,Board 6,9x9
91846,91657,189,Board 6,9x9
10592,10421,171,Board 6,9x9
