random_moves,optimized_hillclimber_moves,runtime,improvement,board,size,iterations
51122,50774,2.394596815109253,348,Board 5,9x9,500
29275,28899,1.392897129058838,376,Board 5,9x9,500
45605,45261,2.1995818614959717,344,Board 5,9x9,500
30466,30126,1.4556069374084473,340,Board 5,9x9,500
16360,16038,0.7989072799682617,322,Board 5,9x9,500
7838,7500,0.3999207019805908,338,Board 5,9x9,500
61823,61479,2.6209330558776855,344,Board 5,9x9,500
13564,13260,0.5920419692993164,304,Board 5,9x9,500
87011,86699,3.6428537368774414,312,Board 5,9x9,500
29407,29073,1.2640080451965332,334,Board 5,9x9,500
67351,66995,2.8624870777130127,356,Board 5,9x9,500
17021,16675,0.7462897300720215,346,Board 5,9x9,500
12740,12436,0.5494468212127686,304,Board 5,9x9,500
21326,21000,0.9007978439331056,326,Board 5,9x9,500
37227,36909,1.5732111930847168,318,Board 5,9x9,500
8717,8393,0.385343074798584,324,Board 5,9x9,500
25640,25282,1.0842900276184082,358,Board 5,9x9,500
17494,17148,0.7644431591033936,346,Board 5,9x9,500
83444,83144,3.5406980514526367,300,Board 5,9x9,500
37373,37007,1.5747997760772705,366,Board 5,9x9,500
18257,17903,0.7941598892211914,354,Board 5,9x9,500
21391,21059,0.9141881465911864,332,Board 5,9x9,500
15049,14699,0.6540498733520508,350,Board 5,9x9,500
81550,81224,3.3976917266845703,326,Board 5,9x9,500
6254,5940,0.2881231307983398,314,Board 5,9x9,500
19419,19115,0.8808612823486328,304,Board 5,9x9,500
63044,62658,2.7006871700286865,386,Board 5,9x9,500
34909,34577,1.4596247673034668,332,Board 5,9x9,500
93436,93080,4.07122802734375,356,Board 5,9x9,500
37583,37257,1.809715986251831,326,Board 5,9x9,500
36904,36548,1.8005788326263428,356,Board 5,9x9,500
41651,41651,1.900627851486206,0,Board 5,9x9,500
29189,28845,1.394032001495361,344,Board 5,9x9,500
70720,70390,3.363356113433838,330,Board 5,9x9,500
27696,27378,1.30663800239563,318,Board 5,9x9,500
11088,10738,0.5430989265441895,350,Board 5,9x9,500
33912,33564,1.591296911239624,348,Board 5,9x9,500
24563,24245,1.1948952674865725,318,Board 5,9x9,500
7478,7118,0.3900158405303955,360,Board 5,9x9,500
15211,14883,0.7488481998443604,328,Board 5,9x9,500
12928,12594,0.6463019847869873,334,Board 5,9x9,500
2729,2387,0.1509320735931396,342,Board 5,9x9,500
69428,69078,3.429337739944458,350,Board 5,9x9,500
28351,28351,1.329885959625244,0,Board 5,9x9,500
57279,56923,2.6704061031341553,356,Board 5,9x9,500
30403,30035,1.4652609825134275,368,Board 5,9x9,500
33838,33494,1.848160982131958,344,Board 5,9x9,500
36484,36172,1.6305279731750488,312,Board 5,9x9,500
60613,60295,2.659658908843994,318,Board 5,9x9,500
38921,38619,1.7217559814453125,302,Board 5,9x9,500
24906,24626,1.1150190830230713,280,Board 5,9x9,500
21665,21333,0.9301550388336182,332,Board 5,9x9,500
20450,20100,0.975288152694702,350,Board 5,9x9,500
26065,25697,1.116441011428833,368,Board 5,9x9,500
69710,69402,2.9527719020843506,308,Board 5,9x9,500
56718,56718,2.363679885864258,0,Board 5,9x9,500
51366,51054,2.2073380947113037,312,Board 5,9x9,500
41203,40869,1.764112949371338,334,Board 5,9x9,500
19571,19203,0.8636882305145264,368,Board 5,9x9,500
59401,59059,2.9181759357452393,342,Board 5,9x9,500
23312,22988,1.055410861968994,324,Board 5,9x9,500
21887,21553,0.9570317268371582,334,Board 5,9x9,500
93712,93394,3.975468158721924,318,Board 5,9x9,500
98469,98137,4.148373126983643,332,Board 5,9x9,500
21647,21333,0.9319391250610352,314,Board 5,9x9,500
18490,18184,0.6112282276153564,306,Board 4,9x9,500
64885,64573,2.1317009925842285,312,Board 4,9x9,500
34730,34418,1.160092830657959,312,Board 4,9x9,500
27574,27258,0.9130239486694336,316,Board 4,9x9,500
40042,39728,1.310817003250122,314,Board 4,9x9,500
75837,75515,2.49124813079834,322,Board 4,9x9,500
23755,23423,0.7956211566925049,332,Board 4,9x9,500
25865,25561,0.8514587879180908,304,Board 4,9x9,500
24691,24311,0.8255276679992676,380,Board 4,9x9,500
19578,19218,0.6532993316650391,360,Board 4,9x9,500
27114,26768,0.8885300159454346,346,Board 4,9x9,500
19874,19572,0.6527988910675049,302,Board 4,9x9,500
19531,19531,0.673659086227417,0,Board 4,9x9,500
58923,58597,1.9277312755584717,326,Board 4,9x9,500
15107,15107,0.4955780506134033,0,Board 4,9x9,500
32740,32430,1.1044251918792725,310,Board 4,9x9,500
89755,89411,2.984917163848877,344,Board 4,9x9,500
53517,53201,1.965278148651123,316,Board 4,9x9,500
15643,15303,0.5930988788604736,340,Board 4,9x9,500
18258,17896,0.6870608329772949,362,Board 4,9x9,500
21530,21222,0.786189079284668,308,Board 4,9x9,500
45659,45351,1.6592020988464355,308,Board 4,9x9,500
40090,39780,1.459313154220581,310,Board 4,9x9,500
45736,45398,1.6656782627105713,338,Board 4,9x9,500
48408,48060,1.794386863708496,348,Board 4,9x9,500
20784,20444,0.7771761417388916,340,Board 4,9x9,500
13517,13209,0.5029871463775635,308,Board 4,9x9,500
36739,36739,1.3138198852539062,0,Board 4,9x9,500
23927,23581,0.9116737842559814,346,Board 4,9x9,500
41721,41353,1.553530216217041,368,Board 4,9x9,500
31082,30714,1.1724889278411863,368,Board 4,9x9,500
24933,24597,0.9349446296691896,336,Board 4,9x9,500
38535,38187,1.462795972824097,348,Board 4,9x9,500
15138,14828,0.6356768608093262,310,Board 4,9x9,500
29782,29468,1.1961588859558103,314,Board 4,9x9,500
33531,33203,1.2340118885040283,328,Board 4,9x9,500
50387,50045,1.8996970653533936,342,Board 4,9x9,500
13225,12925,0.4996659755706787,300,Board 4,9x9,500
23386,23046,0.8845241069793701,340,Board 4,9x9,500
11599,11271,0.446429967880249,328,Board 4,9x9,500
17066,16738,0.6460919380187988,328,Board 4,9x9,500
12672,12332,0.4898300170898437,340,Board 4,9x9,500
72686,72376,2.7056148052215576,310,Board 4,9x9,500
57454,57122,2.1307740211486816,332,Board 4,9x9,500
20739,20441,0.7901551723480225,298,Board 4,9x9,500
40603,40215,1.532702922821045,388,Board 4,9x9,500
12515,12199,0.4847249984741211,316,Board 4,9x9,500
13829,13515,0.5289669036865234,314,Board 4,9x9,500
27210,26868,1.122624158859253,342,Board 4,9x9,500
85305,84965,3.191316843032837,340,Board 4,9x9,500
44262,43948,1.6584358215332031,314,Board 4,9x9,500
16331,15965,0.6771469116210938,366,Board 4,9x9,500
37733,37381,1.5977871417999268,352,Board 4,9x9,500
66283,65957,2.8056480884552,326,Board 4,9x9,500
20216,19882,0.86515212059021,334,Board 4,9x9,500
62587,62237,2.430773973464966,350,Board 4,9x9,500
43548,43214,1.7036569118499756,334,Board 4,9x9,500
48445,48095,1.8358471393585205,350,Board 4,9x9,500
78702,78702,2.9933929443359375,0,Board 4,9x9,500
66525,66191,2.640026807785034,334,Board 4,9x9,500
61873,61529,2.679190158843994,344,Board 4,9x9,500
46286,45942,2.0701711177825928,344,Board 4,9x9,500
32278,31964,1.393021821975708,314,Board 4,9x9,500
11854,11504,0.5411562919616699,350,Board 4,9x9,500
46865,46523,2.039587020874023,342,Board 4,9x9,500
59823,59487,2.565412998199463,336,Board 4,9x9,500
14369,14025,0.6473307609558105,344,Board 4,9x9,500
28930,28586,1.296553134918213,344,Board 4,9x9,500
51138,50774,2.228752851486206,364,Board 4,9x9,500
34712,34396,1.5057783126831057,316,Board 4,9x9,500
11267,10963,0.500248908996582,304,Board 4,9x9,500
34736,34428,1.5202171802520752,308,Board 4,9x9,500
9240,8904,0.4174797534942627,336,Board 4,9x9,500
9522,9202,0.4692690372467041,320,Board 4,9x9,500
40863,40557,1.7772748470306396,306,Board 4,9x9,500
17757,17755,0.8011269569396973,2,Board 4,9x9,500
16657,16657,0.7322938442230225,0,Board 4,9x9,500
53806,53438,2.4508440494537354,368,Board 4,9x9,500
27699,27699,1.1866772174835205,0,Board 4,9x9,500
16350,16008,0.730118989944458,342,Board 4,9x9,500
35572,35258,1.581403732299805,314,Board 4,9x9,500
32337,31959,1.437704086303711,378,Board 4,9x9,500
11725,11389,0.5589959621429443,336,Board 4,9x9,500
26801,26491,1.1730737686157229,310,Board 4,9x9,500
46537,46209,2.057697057723999,328,Board 4,9x9,500
9553,9225,0.4473540782928467,328,Board 4,9x9,500
53386,53064,2.4056291580200195,322,Board 4,9x9,500
59595,59225,2.6489200592041016,370,Board 4,9x9,500
21521,21183,0.9562430381774902,338,Board 4,9x9,500
49823,49475,2.2260780334472656,348,Board 4,9x9,500
7983,7657,0.3675277233123779,326,Board 4,9x9,500
20022,19692,0.897108793258667,330,Board 4,9x9,500
39671,39327,1.7647078037261963,344,Board 4,9x9,500
42476,42160,1.8947367668151855,316,Board 4,9x9,500
33980,33666,1.5135879516601562,314,Board 4,9x9,500
22552,22194,1.095567226409912,358,Board 4,9x9,500
25160,24814,1.156483173370361,346,Board 4,9x9,500
11526,11526,0.4979367256164551,0,Board 4,9x9,500
18422,18096,0.8663458824157715,326,Board 4,9x9,500
3126,2766,0.1049191951751709,360,Board 1,6x6,500
9521,9179,0.2718768119812011,342,Board 1,6x6,500
75335,74993,2.091331958770752,342,Board 1,6x6,500
19357,19005,0.544072151184082,352,Board 1,6x6,500
38979,38655,1.0854361057281494,324,Board 1,6x6,500
4911,4589,0.1423659324645996,322,Board 1,6x6,500
15300,14958,0.4269037246704101,342,Board 1,6x6,500
5836,5530,0.164802074432373,306,Board 1,6x6,500
5097,4783,0.145190954208374,314,Board 1,6x6,500
2119,1777,0.0623219013214111,342,Board 1,6x6,500
10030,9714,0.2796518802642822,316,Board 1,6x6,500
8551,8225,0.2404360771179199,326,Board 1,6x6,500
3200,2800,0.0961263179779052,400,Board 1,6x6,500
8855,8509,0.2497060298919677,346,Board 1,6x6,500
10194,9852,0.286478042602539,342,Board 1,6x6,500
5042,4710,0.1440591812133789,332,Board 1,6x6,500
3532,3200,0.1029722690582275,332,Board 1,6x6,500
2648,2282,0.078402042388916,366,Board 1,6x6,500
5439,5069,0.1572291851043701,370,Board 1,6x6,500
5421,5123,0.1546111106872558,298,Board 1,6x6,500
7241,6891,0.2056310176849365,350,Board 1,6x6,500
7128,6774,0.2014951705932617,354,Board 1,6x6,500
23775,23419,0.6575422286987305,356,Board 1,6x6,500
860,540,0.0314178466796875,320,Board 1,6x6,500
26509,26183,0.738696813583374,326,Board 1,6x6,500
8384,8036,0.238508939743042,348,Board 1,6x6,500
25636,25290,0.7097032070159912,346,Board 1,6x6,500
5867,5523,0.1694190502166748,344,Board 1,6x6,500
5876,5538,0.167668342590332,338,Board 1,6x6,500
15881,15529,0.4416918754577636,352,Board 1,6x6,500
5937,5587,0.169464111328125,350,Board 1,6x6,500
15301,14927,0.4268097877502441,374,Board 1,6x6,500
12066,11688,0.3366508483886719,378,Board 1,6x6,500
